bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,1.9795888E-8,0.0,0.0,1.35E-5
1,2.7558565E-7,0.133,0.118,1.88E-4
2,-1.2006771E-7,0.0,0.0,-8.19E-5
3,3.898189E-6,0.145,0.153,0.00266
4,-1.2828167E-7,0.0,0.0,-8.75E-5
5,4.4691424E-6,0.129,0.117,0.00305
6,-8.171645E-8,0.0,0.0,-5.57E-5
7,4.082413E-6,0.142,0.148,0.00278
8,-2.4658854E-7,0.0,0.0,-1.68E-4
9,3.1549569E-6,0.133,0.119,0.00215
10,1.5596947E-7,0.0,0.0,1.06E-4
11,5.6668778E-6,0.143,0.151,0.00387
12,-3.17522E-7,0.0,0.0,-2.17E-4
13,3.0808606E-6,0.129,0.115,0.0021
14,1.4641701E-8,0.0,0.0,9.99E-6
15,4.5190814E-6,0.137,0.143,0.00308
16,-4.9140777E-8,0.0,0.0,-3.35E-5
17,4.162624E-8,0.0,0.0,2.84E-5
18,-1.2635826E-7,0.0,0.0,-8.62E-5
19,3.4056443E-6,0.143,0.145,0.00232
20,-1.7540067E-8,0.0,0.0,-1.2E-5
21,8.116123E-6,0.152,0.159,0.00554
22,-9.907513E-8,0.0,0.0,-6.76E-5
23,5.36726E-6,0.138,0.139,0.00366
24,-9.851751E-8,0.0,0.0,-6.72E-5
25,5.9169633E-6,0.151,0.155,0.00404
26,-7.603078E-8,0.0,0.0,-5.19E-5
27,3.5125188E-6,0.138,0.141,0.0024
28,-1.2423234E-7,0.0,0.0,-8.47E-5
29,5.062838E-6,0.152,0.156,0.00345
30,-8.4571774E-8,0.0,0.0,-5.77E-5
31,5.4771936E-6,0.132,0.135,0.00374
32,-6.0876815E-8,0.0,0.0,-4.15E-5
33,5.264009E-6,0.149,0.151,0.00359
34,-7.771784E-8,0.0,0.0,-5.3E-5
35,-3.104771E-8,0.0,0.0,-2.12E-5
36,-3.504939E-8,0.0,0.0,-2.39E-5
37,4.9108166E-6,0.138,0.135,0.00335
38,-1.2497019E-7,0.0,0.0,-8.52E-5
39,5.5254545E-6,0.152,0.162,0.00377
40,-9.463189E-8,0.0,0.0,-6.45E-5
41,3.90047E-6,0.138,0.134,0.00266
42,-1.5062967E-7,0.0,0.0,-1.03E-4
43,4.583026E-6,0.143,0.158,0.00313
44,-1.6403894E-7,0.0,0.0,-1.12E-4
45,3.8185813E-6,0.137,0.134,0.0026
46,-1.408716E-7,0.0,0.0,-9.61E-5
47,4.240767E-6,0.143,0.158,0.00289
48,-1.2949182E-7,0.0,0.0,-8.83E-5
49,3.454629E-6,0.131,0.127,0.00236
50,-1.6066711E-7,0.0,0.0,-1.1E-4
51,7.4963937E-6,0.135,0.154,0.00511
52,-6.905311E-8,0.0,0.0,-4.71E-5
53,-7.0679064E-8,0.0,0.0,-4.82E-5
54,-2.0927642E-8,0.0,0.0,-1.43E-5
55,5.6125155E-6,0.147,0.141,0.00383
56,-9.371573E-8,0.0,0.0,-6.39E-5
57,5.8006553E-6,0.156,0.161,0.00396
58,-9.42303E-8,0.0,0.0,-6.43E-5
59,3.1721643E-6,0.141,0.135,0.00216
60,-1.3942127E-7,0.0,0.0,-9.51E-5
61,7.084917E-6,0.15,0.156,0.00483
62,-7.948138E-8,0.0,0.0,-5.42E-5
63,5.3602125E-6,0.141,0.134,0.00366
64,-1.0931202E-7,0.0,0.0,-7.46E-5
65,7.558941E-6,0.147,0.154,0.00516
66,-1.073425E-7,0.0,0.0,-7.32E-5
67,5.8355986E-6,0.134,0.125,0.00398
68,-1.3436355E-7,0.0,0.0,-9.16E-5
69,4.8475367E-6,0.138,0.147,0.00331
70,-1.12941315E-7,0.0,0.0,-7.7E-5
71,-6.4697105E-8,0.0,0.0,-4.41E-5
72,-6.324638E-8,0.0,0.0,-4.31E-5
73,5.810056E-6,0.148,0.15,0.00396
74,-9.169471E-8,0.0,0.0,-6.25E-5
75,8.301429E-6,0.154,0.156,0.00566
76,-1.03379634E-7,0.0,0.0,-7.05E-5
77,4.7042026E-6,0.138,0.148,0.00321
78,-1.3309268E-7,0.0,0.0,-9.08E-5
79,5.1211327E-6,0.146,0.148,0.00349
80,-1.598036E-7,0.0,0.0,-1.09E-4
81,4.9666824E-6,0.137,0.15,0.00339
82,-1.5228407E-7,0.0,0.0,-1.04E-4
83,5.5299292E-6,0.146,0.147,0.00377
84,-1.4188538E-7,0.0,0.0,-9.68E-5
85,2.9741961E-6,0.128,0.145,0.00203
86,-1.753338E-7,0.0,0.0,-1.2E-4
87,4.4103504E-6,0.137,0.137,0.00301
88,-1.7903227E-7,0.0,0.0,-1.22E-4
89,-5.4929437E-8,0.0,0.0,-3.75E-5
90,-6.999848E-8,0.0,0.0,-4.77E-5
91,6.106477E-6,0.155,0.148,0.00416
92,-8.866915E-8,0.0,0.0,-6.05E-5
93,5.909331E-6,0.163,0.15,0.00403
94,-1.2381038E-7,0.0,0.0,-8.44E-5
95,6.0924526E-6,0.147,0.142,0.00416
96,-1.0856648E-7,0.0,0.0,-7.4E-5
97,5.8870605E-6,0.159,0.147,0.00402
98,-9.696265E-8,0.0,0.0,-6.61E-5
99,4.81737E-6,0.144,0.14,0.00329
100,-1.6141149E-7,0.0,0.0,-1.1E-4
101,6.6093417E-6,0.16,0.152,0.00451
102,-1.4335839E-7,0.0,0.0,-9.78E-5
103,4.3932073E-6,0.138,0.131,0.003
104,-1.6983336E-7,0.0,0.0,-1.16E-4
105,9.40682E-6,0.154,0.148,0.00642
106,-9.638159E-8,0.0,0.0,-6.57E-5
107,-5.8117948E-8,0.0,0.0,-3.96E-5
108,-5.0491963E-8,0.0,0.0,-3.44E-5
109,3.6370748E-6,0.149,0.15,0.00248
110,-1.7701932E-7,0.0,0.0,-1.21E-4
111,5.2617993E-6,0.149,0.147,0.00359
112,-1.7420396E-7,0.0,0.0,-1.19E-4
113,7.0136593E-6,0.147,0.149,0.00478
114,-1.15314734E-7,0.0,0.0,-7.86E-5
115,7.0586207E-6,0.153,0.15,0.00481
116,-8.767266E-8,0.0,0.0,-5.98E-5
117,5.7220823E-6,0.149,0.149,0.0039
118,-1.3613439E-7,0.0,0.0,-9.28E-5
119,6.693388E-6,0.156,0.15,0.00457
120,-1.2159491E-7,0.0,0.0,-8.29E-5
121,4.745137E-6,0.141,0.142,0.00324
122,-1.5808887E-7,0.0,0.0,-1.08E-4
123,6.3588254E-6,0.149,0.142,0.00434
124,-1.0379929E-7,0.0,0.0,-7.08E-5
125,-9.859437E-8,0.0,0.0,-6.72E-5
126,-4.6458002E-8,0.0,0.0,-3.17E-5
127,-6.839058E-8,0.0,0.0,-4.66E-5
128,-4.576089E-8,0.0,0.0,-3.12E-5
129,-9.731274E-8,0.0,0.0,-6.64E-5
130,-5.784625E-8,0.0,0.0,-3.95E-5
131,-8.711736E-8,0.0,0.0,-5.94E-5
132,-7.190728E-8,0.0,0.0,-4.9E-5
133,-7.572181E-8,0.0,0.0,-5.16E-5
134,-4.8512838E-8,0.0,0.0,-3.31E-5
135,-5.771559E-8,0.0,0.0,-3.94E-5
136,-5.496633E-8,0.0,0.0,-3.75E-5
137,-3.277243E-8,0.0,0.0,-2.24E-5
138,-4.466449E-8,0.0,0.0,-3.05E-5
139,-5.008115E-8,0.0,0.0,-3.42E-5
140,-6.9687964E-8,0.0,0.0,-4.75E-5
141,-5.4011352E-8,0.0,0.0,-3.68E-5
142,-3.9019557E-8,0.0,0.0,-2.66E-5
143,-1.7116188E-8,0.0,0.0,-1.17E-5
144,-2.0090644E-8,0.0,0.0,-1.37E-5
145,-6.408799E-8,0.0,0.0,-4.37E-5
146,-2.7348085E-8,0.0,0.0,-1.87E-5
147,-3.4889137E-8,0.0,0.0,-2.38E-5
148,-4.7603592E-8,0.0,0.0,-3.25E-5
149,-3.7768288E-8,0.0,0.0,-2.58E-5
150,-3.969784E-8,0.0,0.0,-2.71E-5
151,-5.4539377E-8,0.0,0.0,-3.72E-5
152,-3.4013325E-8,0.0,0.0,-2.32E-5
153,-6.1284936E-8,0.0,0.0,-4.18E-5
154,-7.540284E-9,0.0,0.0,-5.14E-6
155,4.061454E-6,0.136,0.142,0.00277
156,-1.4813251E-7,0.0,0.0,-1.01E-4
157,6.8358145E-6,0.156,0.15,0.00466
158,-8.575848E-8,0.0,0.0,-5.85E-5
159,5.2912387E-6,0.131,0.137,0.00361
160,-8.614739E-8,0.0,0.0,-5.88E-5
161,4.9149203E-6,0.149,0.143,0.00335
162,-1.14881246E-7,0.0,0.0,-7.84E-5
163,3.919265E-6,0.132,0.139,0.00267
164,-1.3431206E-7,0.0,0.0,-9.16E-5
