bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,-1.6305322E-8,0.0,0.0,
1,1.0949533E-6,0.159,0.163,
2,-1.0409904E-7,0.0,0.0,
3,2.10065E-6,0.172,0.185,
4,-1.3779801E-7,0.0,0.0,
5,2.0972834E-6,0.158,0.164,
6,-1.319029E-7,0.0,0.0,
7,1.6359477E-6,0.168,0.175,
8,-2.4713307E-7,0.0,0.0,
9,1.7280266E-6,0.161,0.168,
10,9.334373E-8,0.0,0.0,
11,2.1518358E-6,0.166,0.179,
12,-3.742511E-7,0.0,0.0,
13,1.6938811E-6,0.158,0.165,
14,1.8407809E-10,0.0,0.0,
15,8.6019264E-7,0.158,0.174,
16,-1.5766307E-7,0.0,0.0,
17,6.784488E-8,0.0,0.0,
18,-1.2622569E-7,0.0,0.0,
19,2.3335674E-6,0.165,0.169,
20,-2.9840248E-8,0.0,0.0,
21,2.4989288E-6,0.187,0.187,
22,-2.0065895E-7,0.0,0.0,
23,2.4769386E-6,0.159,0.163,
24,-9.8263875E-8,0.0,0.0,
25,3.1097597E-6,0.182,0.179,
26,-7.63778E-8,0.0,0.0,
27,8.0274873E-7,0.164,0.163,
28,-1.7254649E-7,0.0,0.0,
29,2.1611058E-6,0.183,0.18,
30,-1.558588E-7,0.0,0.0,
31,1.2914768E-6,0.16,0.159,
32,-1.9201765E-7,0.0,0.0,
33,1.580363E-6,0.177,0.179,
34,-1.6331991E-7,0.0,0.0,
35,-4.6630554E-8,0.0,0.0,
36,-7.434987E-9,0.0,0.0,
37,1.6790403E-6,0.165,0.17,
38,-1.2252184E-7,0.0,0.0,
39,6.068966E-7,0.171,0.183,
40,-1.7181287E-7,0.0,0.0,
41,1.050685E-6,0.159,0.166,
42,-1.8450466E-7,0.0,0.0,
43,1.9728989E-6,0.173,0.182,
44,-1.4737046E-7,0.0,0.0,
45,2.363561E-6,0.16,0.169,
46,-1.6215512E-7,0.0,0.0,
47,1.602294E-6,0.179,0.189,
48,-1.5700246E-7,0.0,0.0,
