bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
122,-9.302592E-8,0.0,0.0,-6.34E-5
123,6.812902E-6,0.152,0.125,0.00465
124,-9.670402E-8,0.0,0.0,-6.6E-5
125,-8.72092E-8,0.0,0.0,-5.95E-5
126,-7.059413E-8,0.0,0.0,-4.81E-5
127,-5.082899E-8,0.0,0.0,-3.47E-5
128,-6.4131804E-8,0.0,0.0,-4.37E-5
129,-6.560366E-8,0.0,0.0,-4.47E-5
130,-3.8714425E-8,0.0,0.0,-2.64E-5
131,-6.091101E-8,0.0,0.0,-4.15E-5
132,-6.6275796E-8,0.0,0.0,-4.52E-5
133,-3.0702996E-8,0.0,0.0,-2.09E-5
134,-3.713074E-8,0.0,0.0,-2.53E-5
135,-4.0208572E-8,0.0,0.0,-2.74E-5
136,-7.016872E-8,0.0,0.0,-4.79E-5
137,-6.858657E-8,0.0,0.0,-4.68E-5
138,-6.5379616E-8,0.0,0.0,-4.46E-5
139,-5.84642E-8,0.0,0.0,-3.99E-5
140,-4.045913E-8,0.0,0.0,-2.76E-5
141,-6.0719636E-8,0.0,0.0,-4.14E-5
142,-4.8724967E-8,0.0,0.0,-3.32E-5
143,-5.994297E-8,0.0,0.0,-4.09E-5
144,-3.31648E-8,0.0,0.0,-2.26E-5
145,-4.4420464E-8,0.0,0.0,-3.03E-5
146,-4.9430152E-8,0.0,0.0,-3.37E-5
147,-5.6499672E-8,0.0,0.0,-3.85E-5
148,-3.9813514E-8,0.0,0.0,-2.72E-5
149,-5.6110764E-8,0.0,0.0,-3.83E-5
150,-1.5437195E-8,0.0,0.0,-1.05E-5
151,-6.526855E-8,0.0,0.0,-4.45E-5
152,-5.158798E-8,0.0,0.0,-3.52E-5
153,-3.108345E-8,0.0,0.0,-2.12E-5
154,-4.5647905E-8,0.0,0.0,-3.11E-5
155,7.001022E-6,0.146,0.155,0.00478
156,-3.6897855E-8,0.0,0.0,-2.52E-5
157,4.9971713E-6,0.167,0.164,0.00341
158,-1.2321357E-7,0.0,0.0,-8.4E-5
159,4.6189093E-6,0.143,0.151,0.00315
160,-1.17319225E-7,0.0,0.0,-8.0E-5
161,3.716091E-6,0.159,0.158,0.00253
162,-1.2559275E-7,0.0,0.0,-8.57E-5
163,3.9473857E-6,0.146,0.153,0.00269
164,-1.3995468E-7,0.0,0.0,-9.55E-5
165,6.133084E-6,0.164,0.158,0.00418
166,-8.814381E-8,0.0,0.0,-6.01E-5
167,3.2376222E-6,0.142,0.15,0.00221
168,-1.417209E-7,0.0,0.0,-9.67E-5
169,5.302661E-6,0.156,0.153,0.00362
170,-1.3319759E-7,0.0,0.0,-9.08E-5
171,-6.274026E-8,0.0,0.0,-4.28E-5
172,-2.9776455E-8,0.0,0.0,-2.03E-5
173,5.17724E-6,0.145,0.152,0.00353
174,-1.3669738E-7,0.0,0.0,-9.32E-5
175,8.355743E-6,0.167,0.173,0.0057
176,-4.57582E-8,0.0,0.0,-3.12E-5
177,6.419973E-6,0.138,0.147,0.00438
178,-5.7556488E-8,0.0,0.0,-3.93E-5
179,5.905469E-6,0.16,0.166,0.00403
180,-9.344326E-8,0.0,0.0,-6.37E-5
181,3.851212E-6,0.135,0.152,0.00263
182,-1.721326E-7,0.0,0.0,-1.17E-4
183,5.666215E-6,0.164,0.169,0.00386
184,-1.03010706E-7,0.0,0.0,-7.03E-5
185,4.0803757E-6,0.128,0.148,0.00278
186,-1.5913378E-7,0.0,0.0,-1.09E-4
187,3.7464085E-6,0.157,0.163,0.00256
188,-1.6220085E-7,0.0,0.0,-1.11E-4
189,-7.756989E-8,0.0,0.0,-5.29E-5
190,-4.6676668E-8,0.0,0.0,-3.18E-5
191,3.6170113E-6,0.149,0.146,0.00247
192,-1.2722485E-7,0.0,0.0,-8.68E-5
193,6.3720395E-6,0.174,0.168,0.00435
194,-1.1148714E-7,0.0,0.0,-7.6E-5
195,4.9881296E-6,0.151,0.147,0.0034
196,-1.4076939E-7,0.0,0.0,-9.6E-5
197,5.2544165E-6,0.169,0.163,0.00358
198,-1.374752E-7,0.0,0.0,-9.38E-5
199,2.1111034E-6,0.155,0.149,0.00144
200,-1.675268E-7,0.0,0.0,-1.14E-4
201,5.3211406E-6,0.168,0.169,0.00363
202,-1.13692614E-7,0.0,0.0,-7.75E-5
203,3.7386012E-6,0.147,0.145,0.00255
204,-1.275419E-7,0.0,0.0,-8.7E-5
205,6.56863E-6,0.16,0.163,0.00448
206,-1.3629118E-7,0.0,0.0,-9.3E-5
207,-9.857785E-8,0.0,0.0,-6.72E-5
208,-9.964312E-8,0.0,0.0,-6.8E-5
209,6.8227546E-6,0.157,0.151,0.00465
210,-6.653174E-8,0.0,0.0,-4.54E-5
211,5.8323662E-6,0.175,0.17,0.00398
212,-1.2441565E-7,0.0,0.0,-8.49E-5
213,5.7377924E-6,0.154,0.151,0.00391
214,-1.13667255E-7,0.0,0.0,-7.75E-5
215,5.2768555E-6,0.168,0.163,0.0036
216,-1.1948089E-7,0.0,0.0,-8.15E-5
217,4.6123355E-6,0.157,0.153,0.00315
218,-1.1489739E-7,0.0,0.0,-7.84E-5
219,2.9709233E-6,0.151,0.166,0.00203
220,-1.6667252E-7,0.0,0.0,-1.14E-4
221,6.631908E-6,0.151,0.15,0.00452
222,-1.0333044E-7,0.0,0.0,-7.05E-5
223,4.6003097E-6,0.161,0.155,0.00314
224,-1.4393369E-7,0.0,0.0,-9.82E-5
225,-6.956038E-8,0.0,0.0,-4.74E-5
226,-5.5993556E-8,0.0,0.0,-3.82E-5
227,5.0783624E-6,0.165,0.156,0.00346
228,-1.0756309E-7,0.0,0.0,-7.34E-5
229,5.751212E-6,0.179,0.17,0.00392
230,-1.0898114E-7,0.0,0.0,-7.43E-5
231,5.5922183E-6,0.161,0.153,0.00381
232,-1.02227126E-7,0.0,0.0,-6.97E-5
233,6.828774E-6,0.17,0.165,0.00466
234,-9.301823E-8,0.0,0.0,-6.34E-5
235,5.651135E-6,0.16,0.156,0.00385
236,-1.16639406E-7,0.0,0.0,-7.96E-5
237,6.8282748E-6,0.168,0.164,0.00466
238,-8.9734414E-8,0.0,0.0,-6.12E-5
239,3.9643123E-6,0.156,0.151,0.0027
240,-1.3964417E-7,0.0,0.0,-9.52E-5
241,5.5416785E-6,0.161,0.154,0.00378
242,-1.2310366E-7,0.0,0.0,-8.4E-5
243,-9.659603E-8,0.0,0.0,-6.59E-5
244,-5.4020962E-8,0.0,0.0,-3.68E-5
245,4.6820246E-6,0.165,0.16,0.00319
246,-1.5429048E-7,0.0,0.0,-1.05E-4
247,7.0059264E-6,0.181,0.18,0.00478
248,-8.819531E-8,0.0,0.0,-6.02E-5
249,5.612486E-6,0.157,0.155,0.00383
250,-1.5162769E-7,0.0,0.0,-1.03E-4
251,7.987111E-6,0.177,0.174,0.00545
252,-6.83533E-8,0.0,0.0,-4.66E-5
253,5.0121607E-6,0.16,0.15,0.00342
254,-1.3514828E-7,0.0,0.0,-9.22E-5
255,7.5476596E-6,0.178,0.174,0.00515
256,-9.7898415E-8,0.0,0.0,-6.68E-5
257,4.7728536E-6,0.151,0.146,0.00326
258,-1.4525989E-7,0.0,0.0,-9.91E-5
259,3.994571E-6,0.174,0.167,0.00272
260,-1.566297E-7,0.0,0.0,-1.07E-4
261,-1.0287582E-7,0.0,0.0,-7.02E-5
262,-9.095571E-8,0.0,0.0,-6.2E-5
263,5.614998E-6,0.163,0.159,0.00383
264,-1.5365485E-7,0.0,0.0,-1.05E-4
265,9.459157E-6,0.168,0.162,0.00645
266,-9.261164E-9,0.0,0.0,-6.32E-6
267,4.6798964E-6,0.159,0.158,0.00319
268,-1.5702668E-7,0.0,0.0,-1.07E-4
269,4.363276E-6,0.167,0.159,0.00298
