bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,1.7696859E-8,0.0,0.0,1.21E-5
1,1.5294947E-6,0.147,0.155,0.00104
2,-5.949027E-8,0.0,0.0,-4.06E-5
3,3.7427228E-6,0.156,0.162,0.00255
4,-1.266757E-7,0.0,0.0,-8.64E-5
5,4.6545924E-6,0.141,0.153,0.00317
6,-6.468865E-8,0.0,0.0,-4.41E-5
7,5.306136E-6,0.155,0.157,0.00362
8,-2.438681E-7,0.0,0.0,-1.66E-4
9,4.9283035E-6,0.149,0.16,0.00336
10,2.2177181E-7,0.0,0.0,1.51E-4
11,4.7903613E-6,0.139,0.172,0.00327
12,-3.7003653E-7,0.0,0.0,-2.52E-4
13,5.2559426E-6,0.146,0.154,0.00358
14,5.7093413E-8,0.0,0.0,3.89E-5
15,4.5236634E-6,0.158,0.167,0.00309
16,-4.0938733E-8,0.0,0.0,-2.79E-5
17,6.2196484E-8,0.0,0.0,4.24E-5
18,-1.1186913E-7,0.0,0.0,-7.63E-5
19,2.9742057E-6,0.146,0.153,0.00203
20,-2.4003551E-8,0.0,0.0,-1.64E-5
21,4.4574604E-6,0.159,0.168,0.00304
22,-1.6269813E-7,0.0,0.0,-1.11E-4
23,2.8746138E-6,0.144,0.149,0.00196
24,-1.3234907E-7,0.0,0.0,-9.03E-5
25,5.48109E-6,0.157,0.164,0.00374
26,-5.2245895E-8,0.0,0.0,-3.56E-5
27,4.432032E-6,0.151,0.154,0.00302
28,-1.653194E-7,0.0,0.0,-1.13E-4
29,4.2463626E-6,0.162,0.156,0.0029
30,-1.1527515E-7,0.0,0.0,-7.86E-5
31,3.7573623E-6,0.146,0.15,0.00256
32,-1.149731E-7,0.0,0.0,-7.84E-5
33,6.9295497E-6,0.158,0.168,0.00473
34,-5.272396E-8,0.0,0.0,-3.6E-5
35,-4.358116E-8,0.0,0.0,-2.97E-5
36,-5.557967E-8,0.0,0.0,-3.79E-5
37,4.473311E-6,0.148,0.146,0.00305
38,-1.3109779E-7,0.0,0.0,-8.94E-5
39,8.070036E-6,0.168,0.173,0.0055
40,-7.421344E-8,0.0,0.0,-5.06E-5
41,5.0511703E-6,0.149,0.15,0.00345
42,-1.0004663E-7,0.0,0.0,-6.82E-5
43,6.3388156E-6,0.161,0.145,0.00432
44,-8.429777E-8,0.0,0.0,-5.75E-5
45,4.941971E-6,0.153,0.155,0.00337
46,-1.1713361E-7,0.0,0.0,-7.99E-5
47,4.999903E-6,0.164,0.172,0.00341
48,-1.3907503E-7,0.0,0.0,-9.49E-5
49,3.974294E-6,0.148,0.149,0.00271
50,-1.3611132E-7,0.0,0.0,-9.28E-5
51,5.1216543E-6,0.164,0.145,0.00349
52,-1.0834052E-7,0.0,0.0,-7.39E-5
53,-4.563215E-8,0.0,0.0,-3.11E-5
54,-8.9698675E-9,0.0,0.0,-6.12E-6
55,6.2748954E-6,0.158,0.159,0.00428
56,-7.520454E-8,0.0,0.0,-5.13E-5
57,6.2766076E-6,0.16,0.17,0.00428
58,-9.291562E-8,0.0,0.0,-6.34E-5
59,4.394748E-6,0.155,0.155,0.003
60,-1.474331E-7,0.0,0.0,-1.01E-4
61,6.1119135E-6,0.158,0.157,0.00417
62,-8.141093E-8,0.0,0.0,-5.55E-5
63,7.785444E-6,0.16,0.162,0.00531
64,-3.6706474E-8,0.0,0.0,-2.5E-5
65,4.195626E-6,0.167,0.177,0.00286
66,-1.3651561E-7,0.0,0.0,-9.31E-5
67,3.511277E-6,0.156,0.155,0.00239
68,-1.599089E-7,0.0,0.0,-1.09E-4
69,4.381184E-6,0.157,0.137,0.00299
70,-1.3888518E-7,0.0,0.0,-9.47E-5
71,-5.0066934E-8,0.0,0.0,-3.41E-5
72,-5.0010055E-8,0.0,0.0,-3.41E-5
73,4.774039E-6,0.162,0.165,0.00326
74,-1.5366062E-7,0.0,0.0,-1.05E-4
75,6.3234684E-6,0.167,0.171,0.00431
76,-1.07076566E-7,0.0,0.0,-7.3E-5
77,5.114954E-6,0.157,0.162,0.00349
78,-1.1229186E-7,0.0,0.0,-7.66E-5
79,5.9713775E-6,0.16,0.17,0.00407
80,-8.9489234E-8,0.0,0.0,-6.1E-5
81,5.813958E-6,0.163,0.166,0.00397
