bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,-8.072151E-9,0.0,0.0,-5.51E-6
1,6.214872E-7,0.146,0.144,4.24E-4
2,-6.8045864E-8,0.0,0.0,-4.64E-5
3,5.946134E-6,0.157,0.159,0.00406
4,-3.69555E-8,0.0,0.0,-2.52E-5
5,4.12787E-6,0.143,0.139,0.00282
6,-1.0627031E-7,0.0,0.0,-7.25E-5
7,4.240085E-6,0.152,0.151,0.00289
8,-2.611768E-7,0.0,0.0,-1.78E-4
9,3.4683385E-6,0.146,0.144,0.00237
10,1.7022265E-7,0.0,0.0,1.16E-4
11,3.6571312E-6,0.156,0.153,0.00249
12,-3.5960517E-7,0.0,0.0,-2.45E-4
13,3.5129237E-6,0.139,0.14,0.0024
14,1.3307039E-8,0.0,0.0,9.08E-6
15,5.149622E-6,0.146,0.145,0.00351
16,-5.7571093E-8,0.0,0.0,-3.93E-5
17,4.1145487E-8,0.0,0.0,2.81E-5
18,-1.2145618E-7,0.0,0.0,-8.28E-5
19,4.294398E-6,0.147,0.146,0.00293
20,-1.9421966E-8,0.0,0.0,-1.32E-5
21,4.6986156E-6,0.157,0.156,0.0032
22,-1.4202335E-7,0.0,0.0,-9.69E-5
23,3.6398962E-6,0.143,0.138,0.00248
24,-1.5302922E-7,0.0,0.0,-1.04E-4
25,3.9838355E-6,0.151,0.149,0.00272
26,-1.3161775E-7,0.0,0.0,-8.98E-5
27,2.912595E-6,0.145,0.138,0.00199
28,-1.3969259E-7,0.0,0.0,-9.53E-5
29,3.6178567E-6,0.154,0.149,0.00247
30,-1.3313341E-7,0.0,0.0,-9.08E-5
31,1.4174419E-6,0.14,0.13,9.67E-4
32,-1.841169E-7,0.0,0.0,-1.26E-4
33,4.1608887E-6,0.146,0.139,0.00284
34,-1.3913343E-7,0.0,0.0,-9.49E-5
35,-4.5994927E-8,0.0,0.0,-3.14E-5
36,1.0083559E-8,0.0,0.0,6.88E-6
37,5.1088587E-6,0.146,0.139,0.00348
38,-1.2773943E-7,0.0,0.0,-8.71E-5
39,4.4204594E-6,0.15,0.156,0.00301
40,-1.0336465E-7,0.0,0.0,-7.05E-5
41,3.956903E-6,0.145,0.138,0.0027
42,-1.3059898E-7,0.0,0.0,-8.91E-5
43,6.191983E-6,0.142,0.152,0.00422
44,-9.4973146E-8,0.0,0.0,-6.48E-5
45,4.1530643E-6,0.147,0.141,0.00283
46,-1.1488279E-7,0.0,0.0,-7.84E-5
47,5.0529834E-6,0.141,0.153,0.00345
48,-1.1528053E-7,0.0,0.0,-7.86E-5
49,4.352748E-6,0.14,0.132,0.00297
50,-1.3524243E-7,0.0,0.0,-9.22E-5
51,5.206938E-6,0.128,0.147,0.00355
52,-9.1951804E-8,0.0,0.0,-6.27E-5
53,-3.955104E-8,0.0,0.0,-2.7E-5
54,-2.3968964E-8,0.0,0.0,-1.63E-5
55,4.2539505E-6,0.152,0.143,0.0029
56,-1.4240457E-7,0.0,0.0,-9.71E-5
